phase,start,end,months
Mid Cycle,1987-01-31,1988-05-31,17
Late Cycle,1988-06-30,1989-07-31,14
Downturn,1989-08-31,1989-12-31,5
Early Cycle,1990-01-31,1990-08-31,8
Mid Cycle,1990-09-30,1991-01-31,5
Late Cycle,1991-02-28,1991-09-30,8
Early Cycle,1991-10-31,1992-06-30,9
Mid Cycle,1992-07-31,1995-02-28,32
Late Cycle,1995-03-31,1996-07-31,17
Early Cycle,1996-08-31,1997-07-31,12
Late Cycle,1997-08-31,1997-11-30,4
Downturn,1997-12-31,1998-05-31,6
Early Cycle,1998-06-30,1999-05-31,12
Mid Cycle,1999-06-30,2000-05-31,12
Late Cycle,2000-06-30,2001-01-31,8
Downturn,2001-02-28,2001-07-31,6
Early Cycle,2001-08-31,2002-09-30,14
Mid Cycle,2002-10-31,2004-03-31,18
Late Cycle,2004-04-30,2005-05-31,14
Early Cycle,2005-06-30,2006-05-31,12
Downturn,2006-06-30,2009-02-28,33
Early Cycle,2009-03-31,2010-01-31,11
Late Cycle,2010-02-28,2011-03-31,14
Downturn,2011-04-30,2011-12-31,9
Early Cycle,2012-01-31,2014-01-31,25
Late Cycle,2014-02-28,2014-07-31,6
Downturn,2014-08-31,2015-11-30,16
Early Cycle,2015-12-31,2017-04-30,17
Late Cycle,2017-05-31,2018-09-30,17
Downturn,2018-10-31,2019-04-30,7
Early Cycle,2019-05-31,2021-03-31,23
Late Cycle,2021-04-30,2022-08-31,17
Downturn,2022-09-30,2023-02-28,6
Early Cycle,2023-03-31,2025-08-31,30
Mid Cycle,2025-09-30,2026-08-31,12
