feature,gain,gain_share,family
cycle_factor__chg6,62.650669895112514,0.2501725889097297,cycle
cycle_factor__chg3,21.38744225021219,0.0854029463188601,cycle
fred_nasdaq_composite__yoy_z,17.396172268432565,0.0694652660665793,fred
wsts_worldwide__yoy_z,13.46385506290244,0.053762992214300975,wsts
px_SMH__mom6,11.21438555791974,0.04478055658069714,px
fred_us_unemployment__yoy,7.1419360540458,0.02851871552945297,fred
fred_new_orders_computers_electronics__yoy_z,6.185499484243337,0.024699535092978665,fred
fred_total_business_inv_to_sales__mom3,5.61288113030605,0.02241299264576224,fred
wsts_asia_pacific__yoy,5.375369754736312,0.021464577635655093,wsts
fred_ip_semiconductors_us__yoy,5.10692673973972,0.020392648410494967,fred
fred_nasdaq_composite__yoy,5.09813148342073,0.02035752776378632,fred
wsts_worldwide__mom3,5.059762243123259,0.02020431420364741,wsts
fred_ppi_semiconductors__yoy,4.932422053592745,0.019695827623369206,fred
fred_us_unemployment__yoy_z,3.739301473950036,0.014931535959921577,fred
px_ADI__mom6,3.393701631575823,0.013551509099262322,px
fred_new_orders_computers_electronics__mom3,3.346798902435694,0.01336422016531218,fred
fred_ip_semiconductors_us__yoy_z,3.3131119813770056,0.01322970373846856,fred
fred_total_business_inv_to_sales__yoy_z,3.2883078831946477,0.013130657623427168,fred
target_pit__lag3,3.232358102744911,0.012907242591353686,target
px_SOX__mom6,2.757722862996161,0.011011959956474818,px
